Year,Make,Make,Model,Engine,No_Of_Cylinder,Size,Fuel_Type,No_Of_Cylinder,Fuel_Type
2015,Ford,FORD,TRANSIT VAN T150,V6-3496 3.5L DOHC,6,3.5L,,6,
2015,Ford,FORD,TRANSIT VAN T150,V6-3731 3.7L DOHC,6,3.7L,,6,
2015,Ford,FORD,TRANSIT VAN T250,5-3198 3.2L Dsl,5,3.2L,Diesel,5,Diesel
2015,Ford,FORD,TRANSIT VAN T250,V6-3496 3.5L DOHC,6,3.5L,,6,
2015,Ford,FORD,TRANSIT VAN T250,V6-3731 3.7L DOHC,6,3.7L,,6,
2015,Ford,FORD,TRANSIT VAN T350,5-3198 3.2L Dsl,5,3.2L,Diesel,5,Diesel
2015,Ford,FORD,TRANSIT VAN T350,V6-3496 3.5L DOHC,6,3.5L,,6,
2015,Ford,FORD,TRANSIT VAN T350,V6-3731 3.7L DOHC,6,3.7L,,6,
2015,Ford,FORD,TRANSIT VAN T350 HD,5-3198 3.2L Dsl,5,3.2L,Diesel,5,Diesel
2015,Ford,FORD,TRANSIT VAN T350 HD,V6-3496 3.5L DOHC,6,3.5L,,6,
2015,Ford,FORD,TRANSIT VAN T350 HD,V6-3731 3.7L DOHC,6,3.7L,,6,
2015,FORD-MEDIUM DUTY,FORD-MEDIUM DUTY,E450 VAN,V10-415 6.8L SOHC,10,6.8L,,10,
2015,FORD-MEDIUM DUTY,FORD-MEDIUM DUTY,E450 VAN,V8-330  5.4L SOHC,8,5.4L,,8,
2015,FORD-MEDIUM DUTY,FORD-MEDIUM DUTY,F450 SUPER DUTY,V10-415 6.8L SOHC,10,6.8L,,10,
2015,FORD-MEDIUM DUTY,FORD-MEDIUM DUTY,F450 SUPER DUTY,V8-6651 6.7L Dsl,8,6.7L,Diesel,8,Diesel
2015,FORD-MEDIUM DUTY,FORD-MEDIUM DUTY,F53,V10-415 6.8L SOHC,10,6.8L,,10,
2015,FORD-MEDIUM DUTY,FORD-MEDIUM DUTY,F550 SUPER DUTY,V10-415 6.8L SOHC,10,6.8L,,10,
2015,FORD-MEDIUM DUTY,FORD-MEDIUM DUTY,F550 SUPER DUTY,V8-6651 6.7L Dsl,8,6.7L,Diesel,8,Diesel
2015,FORD-MEDIUM DUTY,FORD-MEDIUM DUTY,F59,V10-415 6.8L SOHC,10,6.8L,,10,
2015,FORD-MEDIUM DUTY,FORD-MEDIUM DUTY,F650 SUPER DUTY,6-408  6.7L Dsl,6,6.7L,Diesel,6,Diesel
2015,FORD-MEDIUM DUTY,FORD-MEDIUM DUTY,F650 SUPER DUTY,V10-415 6.8L SOHC,10,6.8L,,10,
2015,FORD-MEDIUM DUTY,FORD-MEDIUM DUTY,F750 SUPER DUTY,6-408  6.7L Dsl,6,6.7L,Diesel,6,Diesel
2015,Freightliner,FREIGHTLINER,108SD,6-505  8.3L Dsl,6,8.3L,Diesel,6,Diesel
2015,Freightliner,FREIGHTLINER,108SD,6-544  8.9L Dsl,6,8.9L,Diesel,6,Diesel
